电影名,评分,短评
末代皇帝,9.3,无
哈利·波特与魔法石,9.2,无
龙猫,9.2,无
活着,9.3,无
怦然心动,9.1,无
蝙蝠侠：黑暗骑士,9.2,无
指环王3：王者无敌,9.3,无
我不是药神,9.0,无
乱世佳人,9.3,无
飞屋环游记,9.1,无
让子弹飞,9.0,无
哈尔的移动城堡,9.1,无
十二怒汉,9.4,无
海蒂和爷爷,9.3,无
素媛,9.3,无
猫鼠游戏,9.1,无
天空之城,9.2,无
鬼子来了,9.3,无
摔跤吧！爸爸,9.0,无
少年派的奇幻漂流,9.1,无
钢琴家,9.3,无
指环王2：双塔奇兵,9.2,无
死亡诗社,9.2,无
大话西游之月光宝盒,9.0,无
何以为家,9.1,无
肖申克的救赎,9.7,无
霸王别姬,9.6,无
泰坦尼克号,9.5,无
阿甘正传,9.5,无
千与千寻,9.4,无
美丽人生,9.5,无
星际穿越,9.4,无
这个杀手不太冷,9.4,无
盗梦空间,9.4,无
楚门的世界,9.4,无
辛德勒的名单,9.5,无
忠犬八公的故事,9.4,无
海上钢琴师,9.3,无
疯狂动物城,9.3,无
三傻大闹宝莱坞,9.2,无
机器人总动员,9.3,无
放牛班的春天,9.3,无
无间道,9.3,无
控方证人,9.6,无
大话西游之大圣娶亲,9.2,无
熔炉,9.3,无
寻梦环游记,9.1,无
触不可及,9.3,无
教父,9.3,无
当幸福来敲门,9.1,无
绿皮书,8.9,无
闻香识女人,9.1,无
大闹天宫,9.4,无
黑客帝国,9.1,无
指环王1：护戒使者,9.1,无
罗马假日,9.1,无
教父2,9.3,无
狮子王,9.1,无
天堂电影院,9.2,无
饮食男女,9.2,无
辩护人,9.2,无
本杰明·巴顿奇事,9.0,无
搏击俱乐部,9.0,无
美丽心灵,9.1,无
穿条纹睡衣的男孩,9.2,无
情书,8.9,无
哈利·波特与死亡圣器(下),9.0,无
两杆大烟枪,9.1,无
窃听风暴,9.2,无
音乐之声,9.1,无
功夫,8.9,无
西西里的美丽传说,8.9,无
哈利·波特与阿兹卡班的囚徒,9.0,无
阿凡达,8.8,无
看不见的客人,8.8,无
拯救大兵瑞恩,9.1,无
沉默的羔羊,8.9,无
小鞋子,9.2,无
布达佩斯大饭店,8.9,无
